book_id,publisher,num_pages,publication_day,isbn13,publication_month,edition_information,publication_year
1173087,Naxos Audiobooks,,1,9789626343999,5,Unabridged,2006
475003,Touchstone,128,25,9780671797300,4,,1994
20563083,Poetry Foundation,,,,1,,2014
1849948,,,,9788470392368,,,
10250238,Tricia McCallum,100,1,9780986646102,1,,2011
9368172,Bloof Books,84,10,9780982658710,12,Trade Paper Original,2010
3130834,Marick Press,72,2,9780971267657,5,,2008
2694953,W.W. Norton & Co Inc.,79,1,9780393042252,3,,1973
21896506,,193,,,,,2014
6554190,nshr chshmh,72,,,,,1986
2701,,1254,,9780140422344,,,
6657114,ntshrt atlyh hnr,208,,,,,1371
493359,,,,9780743243506,,,
36333521,Otava,256,,,,,1989
6004176,lhyy'@ lmSry@ l`m@ llktb,244,,,,mktb@ l'sr@ - l'`ml lbd`y@,2002
25060281,Acantilado,96,,,4,,2009
1190701,Jonathan Williams,,,,,,1960
28926132,Triple Hex Publishing,30,26,9780692629598,1,1st Edition,2016
1501849,,,,9782080705051,,,
1233859,Houghton Mifflin Harcourt,120,7,9780618942725,11,,2007
1489946,,,,9780935306507,,,
1676943,Anvil Press Poetry,,1,9780856464027,1,,2007
1171423,Milkweed Editions,92,31,9780915943555,12,,1991
1504664,,,,9781853753015,,,
3565588,CALYX Books,90,1,9780934971928,10,,2008
21363357,,,,9780955384615,,,
197986,Northeastern University Press,69,30,9781555531355,10,,1992
28481692,,,15,9781987915051,3,,2016
9466037,Difel,161,,,3,,2002
18624885,nshr lktrwny,55,5,,10,,2013
16187882,Litsam Press,76,1,9781935878063,10,,2012
6590725,Faber  Faber,192,5,9780571243723,11,,2009
743646,BOA Editions Ltd.,96,1,9781929918850,10,,2006
1515020,Carcanet Press Ltd.,272,1,9781857549416,6,,2007
344344,W. W. Norton  Company,261,17,9780393308600,6,,1992
1335224,Soft Skull Press,80,22,9781932360318,6,,2004
886017,,48,,9780853910312,,,
6438915,University of the Philippines Press,112,,,,,2007
30072542,Red Hen Press,96,24,9781597097499,4,,2017
10404643,Four Way Books,68,8,9781935536093,3,,2011
13519197,Anvil Press,119,30,9781897535929,4,,2012
8812416,University of California Press,696,5,9780520260757,1,,2011
17406722,Virtual Artists Collective,80,28,9780944048504,2,,2013
6435705,Recorded Books,,,,,,
396581,New Directions,120,17,9780811212205,4,,1993
9615870,Garnier-Flammarion (GF),307,,,5,,1969
129658,Pearson,3000,27,9780321012692,12,,1998
1140164,University Alabama Press,320,6,9780817310752,12,,2008
382075,,,,9781585679119,,,
3184065,,72,5,9781413781694,7,,2005
13647986,Amazon Digital Services,7,1,,1,,2012
8175403,Coffee House Press,108,17,9781566892520,8,,2010
2355014,Hoopoe Books,36,,9789775325822,,,1999
10402730,Carnegie-Mellon University Press,112,24,9780887485312,1,,2011
8620591,University of Pittsburgh Press,160,28,9780822943983,9,,2010
1672141,Tinfish Press,48,1,9780978992910,8,,2007
75493,Library of America,864,21,9781931082990,9,,2006
75496,W. W. Norton  Company,512,17,9780393320411,4,,2000
75497,Liveright,96,17,9780871401793,5,,2001
75494,Liveright,304,17,9780871401786,5,,2001
75495,Liveright,76,17,9780871402257,7,,1992
113209,Hancock House Publishing,126,1,9780888395450,3,,2004
20470799,,,,,,,
50068,Copper Canyon Press,80,1,9781556592522,4,,2007
4361538,Mansfield Press,64,16,9781894469036,1,,1998
12389347,Ecco,128,27,9780062099426,3,,2012
26001310,Xlibris,46,10,9781503570764,6,,2015
22461190,Nine Arches Press,84,,9780957384743,7,,2013
4592127,Runetree Press,179,31,9781898577089,12,,2002
12309808,,,,9781894838542,,,
17231953,Doubleday Anchor Books,302,,,,,1958
7107083,Booksurge Publishing,286,30,9781439225615,7,,2009
11295329,,113,,,,,2003
470503,"Farrar, Straus and Giroux",432,3,9780374528409,4,,2002
12675105,Octopus Books,104,15,9780985118228,10,,2012
15189170,Crown Publishing Group (NY),,1,9780517885130,1,,1996
15189171,,62,,9780517885147,,,
6619037,Pustaka Nasional,103,,,,,1993
152532,Everyman's Library,256,10,9780679443674,5,,1995
152530,Modern Library,976,13,9780679643500,2,,2007
152535,Vintage,544,19,9780679724841,2,,1990
15777397,Lyrical Lit. Publishing,,30,,7,1st,2012
15777398,,,,,,,
17800801,Minimum Fax,502,,9788875214883,4,Mini #15,2013
34114258,,,,,,,
2928309,AST,316,,9785170101894,,,2006
6383302,W. W. Norton & Company,272,27,9780393065244,4,,2009
6383306,Editorial Caminho,189,1,9789722113922,4,,2004
1573351,Potes & Poets Press,95,1,9780937013397,1,,1992
1797237,,,,9780860682264,,,
18215664,Ethos Books,68,,9789810769505,,,2013
6508048,Kata Kita,77,,9789793778419,3,,2006
15573925,lmw'ss@ ljm`y@ lldrst wlnshr wltwzy`,186,,,,,1981
8429303,Knopf,88,29,9780679721710,7,,1989
25349217,A Midsummer Night's press,48,,9781938334184,,,2015
29855394,Faber & Faber,24,7,9780571330409,4,,2016
98390,mktb@ mdbwly lSGyr,,,,,lTb`@ l'wl~,1993
13298184,W. W. Norton & Company,3,1,9780393913101,12,,2011
9947556,University of California Press,424,17,9780520269972,5,,2011
6707931,njmn khwshnwysn yrn mrkhz mshhd,101,,,,,1991
694475,Loeb Classical Library 57N,,15,9780674996229,1,"Loeb Classical Library, #57 (Greek and English)",2007
393866,University of Wisconsin Press,80,15,9780299157241,10,,1997
22291540,,200,,,,,
2621475,,,,9780896961869,,,
18482526,Sel Yayincilik,400,,9789755706191,,1. Basim,2013
5997878,Assirio & Alvim,568,,9789723709544,9,,2004
1278093,Many Mountains Moving,84,18,9781886976207,3,,2007
141600,Dover Publications,64,22,9780486277196,9,,1993
3999493,CarangBook,139,,9789799983831,8,,2008
12027057,Write Bloody Publishing,125,21,9781935904472,9,,2011
516650,Viking Adult,683,1,9780670835102,10,,1990
12438482,Coach House Books,152,11,9781552452486,10,,2011
31697135,Createspace Independent Publishing Platform,150,28,9781534749184,8,,2016
418216,Figures,22,1,9780935724400,7,,1990
6356660,dr lymn,497,,,,,1996
15771798,"Harcourt, Brace & World, Inc.",56,,,,,1964
19674780,,,,,,The Original 1855 Edition - Dover Thrift Editions,
8358980,Shearsman Books,80,15,9781848610880,3,,2010
29932350,Big Lucks Books,100,1,9781941985045,3,,2016
251121,Faber  Faber,,20,9780571223824,1,,2005
9432234,lhyy'@ lmSry@ l`m@ llktb,140,,,,,2002
15790207,Arrebato Libros,,,9788493565411,,,2007
1561019,New Issues Poetry & Prose,66,1,9781930974449,9,,2004
1103978,Faux Press,84,1,9780976521105,1,,2005
8488725,,,,9781607781493,,,
22752655,Manesse,320,15,9783717560050,3,,2010
836062,Hyperion Books,261,2,9780786837458,4,,2007
743972,Houghton Mifflin,32,1,9780395538104,12,,1990
18192125,"La poesia, senor hidalgo",840,,,,Edicion Bilingue,2003
3930919,Penguin Books,410,28,9780140422931,7,,1983
47180,City Lights,99,,9780872860193,,1st,2001
18490555,"Farrar, Straus and Giroux",337,10,9780374280321,6,,2014
405238,Atlas Press (GB),256,1,9781900565097,1,Limited to 1000 slipcased copies,2004
15849609,de bezige bij,54,,9789023401148,,,2002
25731868,Zhanet 45,71,,9786191861491,,,2015
30423283,Red Mountain Press,84,16,9780990804772,9,,2016
12011051,P'Rea Press,100,1,9780980462548,1,,2008
7786942,W. W. Norton  Company,112,23,9780393070804,8,,2010
18109404,Galaxia Gutenberg,252,,9788415472032,,,2012
8340952,,110,,,,,1920
20327334,,,,,,,
6870005,"Oxford University Press, USA",400,15,9780195388664,7,,2010
31208742,,,,,,,
9968063,mktb@ mdbwly,487,,,,,1995
8131481,Potes & Poets Press,,,,,,1981
18307006,Apostrofa,190,,,,,2004
1055873,Ausable Press,253,1,9781931337212,11,,2004
6580847,Knopf,61,1,,1,,1936
21411190,Emma Press,36,28,9780957459649,1,The Emma Press Picks,2014
998064,New Directions,304,17,9780811211383,9,,1990
518246,"Farrar, Straus and Giroux",290,28,9780374524555,9,,1995
13629111,Institut Terjemahan & Buku Malaysia (ITBM),178,,9789830688961,,,2012
27069781,Karth / Herg Benet,96,,,,,2015
633627,Ecco Press,181,31,9780880012614,12,,1991
2359345,HarperOne,224,5,9780062517241,3,,2002
16090292,Glasgow: Mariscat Press,,,,,,1984
13572380,Typecast,100,,9780984496136,3,,2012
34376890,Luminarium Press,144,,9780998589800,2,First,2017
936208,Faber  Faber,87,18,9780571167050,3,,2002
936209,Faber  Faber,154,8,9780571207060,10,,2001
936207,Faber  Faber,76,4,9780571209552,6,,2001
23015378,Scrambler Books,101,,9780578145877,8,,2014
25378291,YesYes Books,74,16,9781936919291,4,,2015
24906265,,,,,,,
1971154,Penguin Books Ltd,60,,9780146003172,,,1996
1971153,Kingfisher Books,256,1,9781856972215,6,,1994
27625946,Hombrenuevo,40,11,9781507501320,1,,2015
303508,"Oxford University Press, USA",368,13,9780192833327,1,,2000
3669893,Greenwillow Books,208,26,9780061434495,2,,2008
27778116,Dover Publications,192,20,9780486804095,7,,2016
6313904,,,,9788420644196,,,
74534,HarperFestival,1,17,9780060740559,8,,2004
18591254,bwtymr,211,,,,,2014
218985,Copper Canyon Press,224,1,9781556591228,4,,1997
35394156,Hiperion,298,,,,Edicion bilingue,2003
486085,Penguin Classics,352,28,9780140444025,1,,1982
567011,Vintage,336,25,9780679776437,2,,1997
1657005,Random House,91,12,9780394523651,3,,1982
1160501,Ignatius Press,231,1,,12,,2001
12713072,,,,,,,
17332882,Oglak Yayincilik,976,,9789753296816,11,,2014
2951693,Earwater Press,,,9781424305506,,,2006
16700063,Oxford University Press,185,6,9780192824110,4,Oxford World's Classics,2013
324389,Paulist Press,309,1,9780809131600,7,,1990
2430716,Heinemann Educational Books,73,1,9780435901677,1,,1975
1515387,,,,9781559702737,,,
325698,,,,9781894031486,,,
25586865,FreezeRay Press,22,,,1,,2015
33950809,Pomelo Books,134,11,9781937057657,1,,2017
9311644,dr lfrby,160,,,,,1987
6164314,Znak,44,,,,,2009
2715832,,,,9781419125119,,,
7146618,,,,9780982520468,,,
10749192,Mariner Books,288,22,9780547543727,3,,1999
523957,Whit Press,235,1,9780972020534,1,,2005
6819632,Knopf Books for Young Readers,40,9,9780375861185,2,,2010
1371350,Citadel Press,434,1,9780806504032,4,,1974
6134973,,,,9780374515164,,,
224300,,,,9780375815560,,,
9110875,Dent,235,,,,"Everyman's Library #313, Romance, ed Ernest Rhys",1908
1647386,Wolsak and Wynn Publishers Ltd,,1,9781894987004,3,,2005
35435558,,18,13,,6,,2017
23492069,Big Lucks Books,63,15,9781941985014,10,,2015
11845422,,24,,,,,
623185,Seren,64,1,9781854114341,4,,2006
13630583,The Viking Press,71,,,10,Fourteenth printing,1965
1453838,Triquarterly,78,2,9780810150089,3,,1991
2213236,University Of Chicago Press,160,15,9780226531908,4,,2008
1396606,Candlewick,64,1,9780763619329,2,,2003
1292895,Roof Books,83,,9781931824187,,,
1292896,University of Georgia Press,88,1,9780820328133,4,,2006
1292899,Roof Books,,1,9780937804599,1,,1995
11890081,,,,,,,
13108509,,,,9788845215261,,,
18002178,,,,,,,
865204,Albert Bonniers Forlag,320,6,9789100575779,4,,2001
5966818,BlazeVOX Books,18,,,,,2008
1905422,,,,9780824806897,,,
1807341,Harpercollins Publishers,,,9780602566722,,,2000
857449,New World Library,203,12,9781577314455,12,,2003
6984846,Atria Books,96,6,9781416538233,2,,2007
732354,Kaya/Muae,595,2,9781885030139,12,,1995
1222469,Firebrand Books,215,1,9781563411083,2,,1999
13586882,Sterling Children's Books,48,1,9781402716898,1,,2013
250048,Vintage,736,17,9780679724643,3,,1990
29224035,"Izdatelska k'shcha ,,Zhanet 45""",120,,9786191861590,2,,2016
15635,greenwood press,62,,,,,1967
14523564,Writer's Digest Books,538,17,9781599635989,9,,2012
24796277,American Poetry Review,80,1,9780986093890,9,,2015
18367837,Mladinska knjiga,110,,,,Knjiznica Kondor #48,1962
5098314,Princeton University Press,312,7,9780691011219,4,,1996
14943875,LSU Press,176,1,9780807147344,2,,2013
1360373,Ohio University Press,72,15,9780821416129,12,,2004
18075374,Galacia Gutenberg,633,,,10,,2012
5269911,ryD lrys llktb wlnshr,154,,9789953213033,,,2008
13259644,MTV Books,208,4,9781451649833,9,,2012
144101,"Van West & Company, Publishers",95,1,9780967702117,1,,2000
28347334,,,,,,,
4803601,Stanford University Press,536,,9780804715621,,,1991
13586667,Mansfield Press,80,,9781894469661,4,,2012
7953223,Dodo Press,66,1,9781409948933,1,,2010
1721405,University Of Akron Press,90,1,9781931968201,6,,2005
9430304,,,,9781177782838,,,
23941430,,,,,,,
432164,Harper & Row,267,,9780060909185,,,1982
1407969,Wordtech Communications,,1,9781933456614,5,,2007
6324818,Frances Lincoln Children's Bks,80,28,9781845077693,4,,2009
25527249,Frida Ediciones,152,,9788494398902,5,,2015
20979101,DC Books,120,29,9781927599235,5,,2014
1496385,Women's Press (UK),143,3,9780889611924,11,,1993
161430,Harvard University Press,288,10,9780674140486,1,,1998
417782,HarperCollins,40,27,9780060523473,2,,2007
25785774,Atheneum/Caitlyn Dlouhy Books,112,9,9781481423557,2,,2016
12559320,Everest Yayinlari,272,,9789752895249,,,2004
18336159,FutureCycle Press,,22,,7,,2013
593786,British Museum Press,,26,9780714124292,9,,2005
15903019,DC Books,69,1,9781897190326,11,,2012
8805803,Nilgiri Press,297,17,9781586380236,5,,2007
752886,Dover Publications,128,1,9780486268781,5,,1991
18901,Mariner Books,88,18,9780395120989,5,,1973
825647,Harper,128,29,9780060752453,3,,2005
3824832,Pan Macmillan,369,,9780330423045,,,2008
463016,,,,9780961840914,,,
2353702,Kwela Books / Snailpress,64,15,9780795701979,3,,2005
11872363,,410,24,,3,,2011
24977055,lmw'ss@ l`rby@ lldrst wlnshr,116,,,2,,2015
3295509,Schwartz & Wade,40,23,9780375841507,9,,2008
25194384,Listening Library (Audio),,26,9781101628966,9,,2013
8729193,Halcyon Press Ltd.,,11,,4,Revised edition,2010
24890269,,,,,,,
1333840,John Wiley & Sons,272,24,9780631220619,1,,2001
603963,Wesleyan University Press,108,1,9780819565044,9,,2001
10154769,dht lslsl,582,,,,,1982
860818,,,,9780978613105,,,
11550450,Harper & Brothers,62,,,,,1955
14290949,CreateSpace,116,24,9781475191585,5,,2012
1454842,Graywolf Press,80,1,9781555974060,9,,2004
12143095,"Dnevnik, Novi Sad",149,,,,,1985
6146024,Pinch Pinch Press,,,,,,2008
21608751,lmrkz lqwmy lltrjm@,164,,9789774219743,,,2011
3611264,,,,9789500415668,,,
28515389,Savukeidas,,,9789522681638,,,2016
15749511,City Lights Books,79,,,,,1962
743715,Faber  Faber,498,17,9780571225835,3,,2005
1639650,Tia Chucha,80,30,9781882688333,4,,2007
18284560,Calamo,144,,9788496932760,7,,2013
789667,W. W. Norton & Company,187,1,9780393034882,5,,1993
873462,Hyperion,208,1,9780786862429,7,,1997
659775,Black Ocean,105,1,9780977770939,3,,2007
1991879,Barefoot Books,40,7,9781841480589,11,,2005
435060,Alice James Books,68,1,9780914086246,11,,1978
435061,William B. Eerdmans Publishing Company,260,1,9780802863263,9,,2002
435063,Graywolf Press,85,1,9780915308873,10,,1986
852662,Wesleyan,75,14,9780819564061,4,,2000
21219304,,,,,,,
2764176,"Oxford University Press, USA",741,1,9780199535644,6,,2008
226946,Grove Press,320,12,9780802133472,1,,1994
8417025,,,,9781869620875,,,
14061264,"Dell Publishing Co, Inc",159,,,,First,1692
522835,Incommunicado Press,157,1,9781888277067,7,,1998
522836,13 Hands Publications,464,15,9780976726005,8,,2006
1222240,University of Pittsburgh Press,88,28,9780822959311,7,,2006
13177529,Visor de poesia,328,,9788498957327,,,2009
1720257,Tilbury House Publishers,,1,9780884480990,3,,1992
2257365,Anova Books,160,1,9781861057648,1,,2005
13558213,,,,,,,
24742803,Fearache Publishings,66,3,,3,World Recorrd Edition,2015
775292,Northwestern University Press,296,27,9780810116498,5,,1998
30700984,Atlas Contact,64,17,9789025447816,6,1,2016
1272038,Gallimard,384,22,9782070325405,8,,1989
7156792,Princeton University Press,152,21,9780691145341,3,,2010
959663,University of Georgia Press,456,25,9780820328645,7,,2007
1555969,Book Jungle,,15,9781594625541,3,,2007
22605867,BUR Rizzoli,2200,,9788817038492,10,BUR Classici - 2 voll.,2011
6639509,Faber and Faber,128,,9780571247059,,80th anniversary edition,2009
10705914,Yapi Kredi Yayinlari,118,,9789750814440,,,2008
11212,Plume,120,1,9780452275676,4,,1996
17344199,De bezige bij,94,,9789023477785,1,,2013
13142341,Vintage Classics,512,2,9780099561293,2,,2012
821682,Knopf,88,11,9781400044887,10,,2005
8491529,Dybbuk,,,,,,2005
705212,Columbia University Press,232,1,9780231105774,11,,1996
1254774,,,,9788423995905,,,
8580683,Melville House,96,18,9781935554240,11,,2010
17901445,Animedia Company,,,9788087762561,,,2013
1738831,"thrn, myrkhbyr, 1345",54,,,,chp nkhst,1966
704871,Universe,90,2,9780789308269,12,,2002
704877,,,,9780316607315,,,
552496,Viking Adult,112,1,9780670887552,10,,1999
128076,W. W. Norton  Company,76,17,9780393001594,6,,1963
229402,Harlan Davidson,137,1,9780882950662,1,,1966
22521931,Nancy Paulsen Books,32,24,9780399164408,2,,2015
2092897,Feltrinelli,286,6,9788807816260,10,Universale Economica #1626,2000
3028840,McClelland & Stewart,128,25,9780771024252,3,,2003
3028841,,,,9780889104501,,,
24826364,New Directions,64,8,9780811224758,9,,2015
24826360,New Directions,144,4,9780811223522,1,Centennial Edition,2016
10218995,,,,9788845917134,,Piccola Biblioteca Adelphi #482,
1026806,HarperCollins Publishers,194,1,9780060156282,12,,1986
24921383,dr lthqf@ wlfnwn wltrth qTr,284,,9789927104770,,ktb ldwH@ 45,2015
12086014,"Sibling Rivalry Press, LLC",44,18,9781937420024,10,,2011
17736343,Editorial Porrua,204,,9789700739755,,,2003
9219760,frhng Sb,189,,9789642935109,,,2009
8649238,Pragma,135,,,,,2001
23177623,Createspace Independent Publishing Platform,100,24,9781500233433,8,,2014
6294151,Black Lawrence Press,63,1,9781934703397,3,,2009
25538499,,,,,,,
30353202,CreateSpace Independent Publishing Platform,108,3,9781533617538,6,,2016
3998688,Graywolf Press,360,31,9781555975210,3,,2009
15807807,University of Pittsburgh Press,88,29,9780822962236,8,,2012
17839595,MK Book,86,,,12,,2012
1426096,Story Line Press,74,1,9781878851154,7,,2001
2673808,,,,9780840752246,,,
7040441,Villard,320,7,9780307568090,10,,2009
14623094,Einaudi,471,16,9788806179496,11,Einaudi tascabili classici,2005
13413481,Wesleyan University Press,64,14,9780819572776,2,,2012
898109,Duke University Press Books,112,8,9780822339601,5,,2007
23316517,W. W. Norton  Company,96,3,9780393246896,8,,2015
1251411,Atheneum Books for Young Readers,40,1,9780689830679,3,,2003
6555021,CavanKerry Press,70,1,9781933880150,9,,2009
9526813,Ikaros,178,,9789607233981,,,1996
26127936,,,,,,,
6990114,,,,9781435107502,,,
2336665,Atlantic Monthly Press,126,1,9780871132802,7,,1989
2336667,Beacon Press,88,30,9780807068687,9,,2003
9562614,Oxford University Press,,,,,,1932
652727,Houghton Mifflin Harcourt,80,2,9780618582228,4,,2006
2049769,Faber and Faber,68,6,9780571231805,4,,2006
13497108,Bertrand Editora,344,,9799722512519,,,2002
31144646,Cem Yayinevi,360,,,,,1981
20816032,Bazar,128,8,9788771161021,2,,2013
25170708,ALVA Press Inc,83,,9781938729072,,,2013
15818015,Katherine Tegen Books,32,19,9780060279783,3,,2013
1251990,Turtleback Books,167,1,9780613817011,12,,2003
1251991,,167,,9780803725690,,,
7928027,"Grupo Editorial Tomo, S.A. de C.V.",251,,9789706665133,8,1a. Edicion,2002
2880601,Faber and Faber,117,3,9780571145317,11,,1986
23464600,Vox Nova,128,31,9780984260065,10,,2014
25365812,Bloodaxe Books,111,,9781780371498,,,2015
7707352,Goose Lane Editions,73,16,9780864925398,4,,2010
9513597,,,,,,,
5024306,Lummox Press,31,,,,,2008
5395061,Duncan Baird,272,4,9781844837212,11,,2008
20412413,FutureCycle Press,86,1,9781938853456,1,,2014
9316832,'khbr lywm - lqhr@,182,,,,lTb`@ l'wl~,1988
21792868,W. W. Norton & Company,123,24,,3,Revised Edition,2014
18668883,Nordica Libros,104,14,9788415717614,10,,2013
16052994,de Yayinlari,64,,,,2. Baski,1966
1038771,Tupelo Press,70,1,9781932195170,1,,2004
1038770,,,,9780879232122,,,
9888835,Snare Books,67,10,9780986576508,10,,2010
1256965,New Issues Press,59,1,9781930974302,1,,2004
32455067,,,,,,,
17934375,"Farrar, Straus and Giroux",144,1,9780374280857,4,,2014
57628,Copper Canyon,534,,9781556592188,,1st,2005
